分类: 影视频道, 名称: 淘电影, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 470 ms, 最高速率: 0.06 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 影视频道, 名称: 淘剧场, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 459 ms, 最高速率: 0.81 M/s, 平均速率: 0.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 影视频道, 名称: CHC家庭影院, 有效: 2, IPv4: 15, IPv6: 0, 最小延迟: 23 ms, 最高速率: 22.06 M/s, 平均速率: 14.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 影视频道, 名称: CHC动作电影, 有效: 2, IPv4: 15, IPv6: 0, 最小延迟: 33 ms, 最高速率: 6.18 M/s, 平均速率: 4.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 影视频道, 名称: 华数电影, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 684 ms, 最高速率: 0.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 影视频道, 名称: CHC影迷电影, 有效: 2, IPv4: 16, IPv6: 0, 最小延迟: 34 ms, 最高速率: 18.23 M/s, 平均速率: 12.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 影视频道, 名称: 华数4K, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 461 ms, 最高速率: 0.22 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: hevc, 音频编解码器: aac
分类: 影视频道, 名称: 华数动作影院, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 453 ms, 最高速率: 0.24 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 影视频道, 名称: 华数喜剧影院, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 465 ms, 最高速率: 0.06 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 影视频道, 名称: 华数家庭影院, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 452 ms, 最高速率: 0.07 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
